h,b_black_s1,t_s1,b_black_s2,t_s2,b_black_s3,t_s3
0,-0.4718,-0.3563,-0.4575,-0.3975,-0.4741,-0.4188
1,0.1846,0.1083,0.2274,0.1528,0.1961,0.1351
2,-0.1394,-0.0943,-0.0258,-0.0191,-0.0698,-0.0536
3,0.1652,0.4194,0.2461,0.7621,0.1839,0.5151
4,-0.8618,-0.6202,-0.6569,-0.5467,-0.7041,-0.5956
5,-0.3641,-0.2032,-0.1734,-0.1081,-0.2381,-0.1549
6,-0.1284,-0.0827,0.0637,0.0449,-0.0089,-0.0065
7,0.0739,0.1323,0.1971,0.5222,0.1276,0.2785
8,-0.7899,-0.5416,-0.5414,-0.4293,-0.6029,-0.4877
9,-0.6577,-0.3609,-0.4649,-0.2829,-0.526,-0.3339
10,-0.5879,-0.3708,-0.3594,-0.25,-0.4229,-0.3018
11,-0.5744,-0.8299,-0.3778,-0.7907,-0.462,-0.8195
12,-1.0598,-0.6744,-0.7732,-0.5814,-0.8516,-0.6403
