h,black,t,+pop,t.,+pop+inc,t..,+pop+inc+exp,t...
0,-0.472,-0.36,-0.458,-0.4,-0.462,-0.56,-0.459,-0.56
1,0.184,0.11,0.227,0.15,-0.037,-0.03,-0.033,-0.03
2,-0.139,-0.09,-0.025,-0.02,-0.125,-0.14,-0.118,-0.13
3,0.165,0.42,0.246,0.76,-0.036,-0.09,-0.028,-0.07
4,-0.863,-0.62,-0.658,-0.55,-0.702,-0.73,-0.695,-0.72
5,-0.364,-0.2,-0.173,-0.11,-0.47,-0.41,-0.461,-0.4
6,-0.128,-0.08,0.064,0.04,-0.271,-0.28,-0.261,-0.27
7,0.074,0.13,0.198,0.52,-0.283,-0.4,-0.274,-0.4
8,-0.791,-0.54,-0.543,-0.43,-0.754,-0.69,-0.746,-0.68
9,-0.659,-0.36,-0.466,-0.28,-0.882,-0.71,-0.874,-0.71
10,-0.588,-0.37,-0.36,-0.25,-0.747,-0.68,-0.739,-0.68
11,-0.575,-0.83,-0.378,-0.79,-0.929,-1.02,-0.918,-1.03
12,-1.061,-0.67,-0.774,-0.58,-1.19,-0.9,-1.179,-0.9
