h,black_nat,t_black_nat,hisp_nat,t_hisp_nat,black_within,t_black_within,hisp_within,t_hisp_within
0,-0.4494,-0.5192,0.0705,0.2053,-0.5726,-0.9248,0.8977,0.6701
1,0.0043,0.0037,0.2399,0.4465,-0.1803,-0.2288,1.7604,1.167
2,-0.1206,-0.1289,0.0234,0.0412,0.3986,0.6097,0.1387,0.1434
3,-0.0575,-0.153,-0.1224,-0.2831,0.3231,0.566,0.5793,0.6773
4,-0.7394,-0.7307,-0.2183,-0.3289,-0.1477,-0.1561,0.5014,0.3251
5,-0.5071,-0.4154,-0.2177,-0.2674,-0.3053,-0.2475,2.1975,1.2674
6,-0.3138,-0.3158,-0.2499,-0.3709,0.5271,0.6058,0.8254,0.5331
7,-0.3486,-0.5292,-0.3779,-0.6897,0.3673,0.4785,0.5968,0.4181
8,-0.8427,-0.7503,-0.5123,-0.8072,-0.5547,-0.4835,1.3463,0.6974
9,-0.8682,-0.6763,0.0825,0.1112,-0.3094,-0.2694,1.6062,0.8096
10,-0.7801,-0.711,-0.1895,-0.2823,0.7037,0.8579,0.3286,0.186
11,-0.9271,-1.0686,0.012,0.0207,0.2158,0.3856,1.6067,0.8362
12,-1.1665,-0.883,0.1339,0.1869,0.3299,0.402,1.8583,0.8015
