"h","theta_black","se_black","t_black","theta_hisp","se_hisp","t_hisp","theta_exp","se_exp","t_exp"
0,-0.471830577097558,1.32415891006158,-0.3563247383017,0.103064811478493,0.48313274235892,0.213326074683479,-0.335040592176971,0.488633561939802,-0.685668399131059
1,0.184567023905567,1.70344841783162,0.108349053586553,0.298219988921937,0.69279876149164,0.430456873623519,-0.650058746998445,0.706696101021201,-0.919856139094424
2,-0.139446808839954,1.4787155628599,-0.0943026585655578,-0.00851048224204866,0.693302639560464,-0.0122752774278259,-1.13807215472482,0.987939486473668,-1.15196544961173
3,0.165222472582422,0.393970591403963,0.419377679926899,-0.0655301838704941,0.420922622126664,-0.155682257084236,-1.2844481463584,1.56610526777476,-0.820154412853387
4,-0.861823880249589,1.38955639350869,-0.620215116331799,-0.266423901674606,0.756187742475668,-0.352325073139067,-1.56923713014731,1.85469793798058,-0.84608770949296
5,-0.364114469865516,1.79156287283492,-0.203238454751717,-0.18577737153328,0.931939574097993,-0.199344868161748,-1.77067009663367,2.1976856151043,-0.805697632301988
6,-0.12838425173356,1.55182546042027,-0.0827311157137422,-0.22253639608579,0.79011125307577,-0.281651976502668,-1.89162589910915,2.6341354688537,-0.718120203564296
7,0.0738849350070033,0.558360993492222,0.132324671436835,-0.240584341963142,0.525768713036536,-0.457585885195918,-1.56617475474464,2.93837609551812,-0.533006907159881
8,-0.789881654315822,1.45830234691464,-0.54164464316127,-0.509618438537832,0.715598065657252,-0.712157372965737,-1.96093040767307,2.96247350416763,-0.661923357260214
9,-0.657748936257248,1.82263015477734,-0.360878993762507,0.18196817265357,0.877087771191378,0.207468600783701,-1.73342378253094,3.0379180377202,-0.570595967701547
10,-0.587861382182893,1.58547930084294,-0.370778339313765,-0.124885447060315,0.800739558216915,-0.155962629520152,-1.90649636643536,3.10795911749218,-0.613423888269714
11,-0.574371487236745,0.692067782622212,-0.829935306424001,0.166793983088886,0.561658181021367,0.296967067737843,-2.10926969848302,3.22159977534265,-0.654727416678775
12,-1.05982383202385,1.57161530383835,-0.674353214451046,0.194804945876913,0.823560869443587,0.236539827357906,-2.38537035601083,3.26692447805807,-0.730157789698507
